scenario;tactics;techniques;technique_names;event_id;cmd;start;end
1_autostart_localaccount;reconnaissancereconnaissance;T1590.002_T1591;NA;1;dnsenum__f__usr_local_share_SecLists_Discovery_DNS_subdomains_top1million_5000_txt___dnsserver_192_42_0_233_attackbed_com;1758565786.382738;1758565796.0
1_autostart_localaccount;reconnaissancereconnaissance;T1595_T1592.002;NA;2;nmap__O__sT___top_ports_100_video_attackbed_com;1758565805.591219;1758565824.0
1_autostart_localaccount;reconnaissance;T1595.002;NA;3;nikto__host_video_attackbed_com;1758565833.690128;1758565884.0
1_autostart_localaccount;reconnaissance;T1595.003;NA;4;ffuf__w__usr_local_share_SecLists_Discovery_Web_Content_raft_small_directories_lowercase_txt__u_http___video_attackbed_com_FUZZ;1758565893.536828;1758565995.0
1_autostart_localaccount;initial-accessexecution;T1190_T1059.006;NA;5;exploit_unix_webapp_zoneminder_snapshots;1758566004.202763;1758566059.0
1_autostart_localaccount;command-and-control;T1105;NA;6;upload__var_www_html_linpeas_sh;1758566084.766805;1758566092.0
1_autostart_localaccount;execution;T1059;NA;7;python3__c__import_pty_pty_spawn___bash_____;1758566117.470688;1758566124.0
1_autostart_localaccount;execution;T1059;NA;8;export_SHELL_bash;1758566133.832817;1758566141.0
1_autostart_localaccount;execution;T1059;NA;9;export_TERM_xterm256_color;1758566150.072078;1758566157.0
1_autostart_localaccount;execution;T1059;NA;10;stty_rows_38_columns_116;1758566166.437241;1758566173.0
1_autostart_localaccount;execution;T1059;NA;11;export_PS1__PWN__;1758566182.653712;1758566189.0
1_autostart_localaccount;execution;T1059;NA;12;chmod__x_linpeas_sh;1758566198.978441;1758566206.0
1_autostart_localaccount;discoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscoverydiscovery;T1087_T1083_T1201_T1069_T1057_T1518_T1082_T1614_T1016_T1049_T1033_T1007_T1615;NA;13;__linpeas_sh__s__q__N_2___dev_null;1758566215.198549;1758566822.0
1_autostart_localaccount;discovery;T1033;NA;14;id;1758566831.588726;1758566837.0
1_autostart_localaccount;persistence_privilege-escalation;T1547;NA;15;ExecStartPre_bash__var_www_default__zm_preload_sh__;1758566846.377409;1758566935.0
1_autostart_localaccount;persistence_privilege-escalation;T1547;NA;16;_wq__;1758566961.137429;1758567241.0
1_autostart_localaccount;execution;T1059;NA;17;python3__c__import_pty_pty_spawn___bash_____;1758567277.301695;1758567284.0
